模块,需求条目,当前缺口,影响范围,验证命令,证据文件,状态,阻塞说明
设备模块,保养计划与记录导出口径收敛,计划真源/可见范围/记录筛选已在当前工作区完成并通过定向回归,backend/app/api/v1/endpoints/equipment.py; backend/app/services/equipment_service.py; frontend/lib/pages/maintenance_plan_page.dart; frontend/lib/pages/maintenance_record_page.dart,".venv/bin/python -m unittest backend.tests.test_equipment_module_integration; cd frontend && /home/donki/.local/share/flutter/bin/flutter test test/models/equipment_models_test.dart test/services/equipment_service_test.dart; cd frontend && /home/donki/.local/share/flutter/bin/flutter analyze lib/models/equipment_models.dart lib/pages/maintenance_plan_page.dart lib/pages/maintenance_record_page.dart",evidence/commander_execution_20260321.md,已完成,
设备模块,规则启停字段一致性与规则参数页验收,规则页主链路已存在但需求字段和详情深度仍需继续补强,backend/app/api/v1/endpoints/equipment.py; frontend/lib/pages/equipment_rule_parameter_page.dart,待下一批补规则页与详情页回归,evidence/continuous_improvement_run_20260321.md,待继续,当前批次优先让品质导出与质量回归先闭环
品质模块,质量导出文件闭环,每日首件/品质统计/质量趋势/不良分析前端原先仅弹出 CSV 文本未形成文件导出,frontend/lib/pages/daily_first_article_page.dart; frontend/lib/pages/quality_data_page.dart; frontend/lib/pages/quality_trend_page.dart; frontend/lib/pages/quality_defect_analysis_page.dart; frontend/lib/services/quality_service.dart; frontend/lib/services/export_file_service.dart,"cd frontend && /home/donki/.local/share/flutter/bin/flutter test test/services/quality_service_test.dart test/services/quality_service_contract_test.dart test/models/quality_models_test.dart; cd frontend && /home/donki/.local/share/flutter/bin/flutter analyze lib/models/quality_models.dart lib/services/quality_service.dart lib/services/export_file_service.dart lib/pages/daily_first_article_page.dart lib/pages/quality_data_page.dart lib/pages/quality_trend_page.dart lib/pages/quality_defect_analysis_page.dart",evidence/continuous_improvement_run_20260321.md,已完成,
品质模块,趋势导出字段一致性,趋势导出接口缺少不良数列与当前趋势图口径不一致,backend/app/api/v1/endpoints/quality.py; backend/tests/test_quality_module_integration.py,".venv/bin/python -m unittest backend.tests.test_quality_module_integration",evidence/continuous_improvement_run_20260321.md,已完成,
品质模块,首件处置 failed-only 与历史留痕回归,此前缺少后端质量模块集成测试资产锁定处置约束和历史版本行为,backend/tests/test_quality_module_integration.py,".venv/bin/python -m unittest backend.tests.test_quality_module_integration",evidence/continuous_improvement_run_20260321.md,已完成,
产品模块,版本文案与导出筛选一致性,当前仍需继续收口 version_label 语义和导出筛选完整透传,backend/app/api/v1/endpoints/products.py; frontend/lib/pages/product_parameter_management_page.dart; frontend/test/services/product_service_test.dart,待下一批执行,evidence/commander_execution_20260321.md,待继续,
生产模块,删除追溯与详情导出一致性,当前已补主链路但仍需继续扩大筛选与快照展示回归,backend/app/api/v1/endpoints/production.py; backend/app/services/production_event_log_service.py; frontend/lib/pages/production_order_management_page.dart,".venv/bin/python -m unittest backend.tests.test_production_module_integration; cd frontend && /home/donki/.local/share/flutter/bin/flutter test test/services/production_service_test.dart test/widgets/production_order_management_page_test.dart",evidence/commander_execution_20260321.md,待继续,
消息模块,精确上下文跳转与已读同步事件消费,当前已补 payload 透传但仍需继续完善消费同步与公告规则能力,backend/tests/test_message_module_integration.py; frontend/lib/pages/main_shell_page.dart; frontend/lib/pages/production_page.dart,".venv/bin/python -m unittest backend.tests.test_message_module_integration",evidence/commander_execution_20260321.md,待继续,
用户模块,在线会话完整视图与失效处理闭环,当前仅完成 active 会话勾选限制仍需继续补完整会话态展示和失效反馈,frontend/lib/pages/login_session_page.dart,待下一批执行,evidence/commander_execution_20260321.md,待继续,
工艺模块,回滚影响分析与页面回归补强,当前回滚弹窗已补摘要但仍缺更多页面级验证,frontend/lib/pages/process_configuration_page.dart,待下一批执行,evidence/commander_execution_20260321.md,待继续,
